"instance_code";"total_steps_day";"steps_this_minute";"heartrate_this_minute";"datetime";"sleep_level_labeled";"sleep_level_numerical";"sleep_level_duration_remaining"
"170608";"17318";0;92;"2017-06-08 00:00:00.000";"NA";nan;nan
"170608";"17318";0;88;"2017-06-08 00:01:00.000";"NA";nan;nan
"170608";"17318";9;90;"2017-06-08 00:02:00.000";"NA";nan;nan
"170608";"17318";0;91;"2017-06-08 00:03:00.000";"NA";nan;nan
"170608";"17318";0;89;"2017-06-08 00:04:00.000";"NA";nan;nan
"170608";"17318";16;91;"2017-06-08 00:05:00.000";"NA";nan;nan
"170608";"17318";19;91;"2017-06-08 00:06:00.000";"NA";nan;nan
"170608";"17318";26;95;"2017-06-08 00:07:00.000";"NA";nan;nan
"170608";"17318";0;99;"2017-06-08 00:08:00.000";"NA";nan;nan
"170608";"17318";0;91;"2017-06-08 00:09:00.000";"NA";nan;nan
"170608";"17318";0;86;"2017-06-08 00:10:00.000";"NA";nan;nan
"170608";"17318";0;85;"2017-06-08 00:11:00.000";"NA";nan;nan
"170608";"17318";9;87;"2017-06-08 00:12:00.000";"NA";nan;nan
"170608";"17318";0;90;"2017-06-08 00:13:00.000";"wake";3;5
"170608";"17318";0;84;"2017-06-08 00:14:00.000";"wake";3;4
"170608";"17318";0;78;"2017-06-08 00:15:00.000";"wake";3;3
"170608";"17318";0;79;"2017-06-08 00:16:00.000";"wake";3;2
"170608";"17318";0;77;"2017-06-08 00:17:00.000";"wake";3;1
"170608";"17318";0;77;"2017-06-08 00:18:00.000";"NA";nan;nan
"170608";"17318";0;76;"2017-06-08 00:19:00.000";"light";2;6
"170608";"17318";0;78;"2017-06-08 00:20:00.000";"light";2;5
"170608";"17318";0;76;"2017-06-08 00:21:00.000";"light";2;4
"170608";"17318";0;77;"2017-06-08 00:22:00.000";"light";2;3
"170608";"17318";0;79;"2017-06-08 00:23:00.000";"light";2;2
"170608";"17318";0;79;"2017-06-08 00:24:00.000";"light";2;1
"170608";"17318";7;78;"2017-06-08 00:25:00.000";"wake";3;5
"170608";"17318";0;77;"2017-06-08 00:26:00.000";"wake";3;4
"170608";"17318";0;76;"2017-06-08 00:27:00.000";"wake";3;3
"170608";"17318";0;74;"2017-06-08 00:28:00.000";"wake";3;2
"170608";"17318";0;75;"2017-06-08 00:29:00.000";"wake";3;1
