"date";"id";"bed_time";"late";"late_reason";"wake_time";"sleep_transition";"sleep_struggle";"night_wake";"wake_earlier";"wake_earlier_problem";"sleep_quality";"physical_activity";"mental_digital_activity";"social_activity";"light";"presleep_description";"temptation_smoking";"temptation_eating";"temptation_chat";"temptation_coffee";"temptation_social_media";"temptation_internet";"temptation_tv";"temptation_alcohol";"temptation_soft_drink";"temptation_cleaning";"temptation_shopping";"temptation_other";"bed_time_plan";"temptation_score";"plan_tonight";"bed_tonight";"procrastination_minutes"
"2017-04-10 09:57:26+02:00";"AB64";"2017-04-10 02:00:00";1;"We zijn vanuit het noorden van het land teruggereden naar huis na een theatervoorstelling";"2017-04-10 09:30:00";0;0;0;0;0;2;1;1;2;1;"Theaterbezoek, autorit (bijrijder)";0;0;2;0;2;2;0;0;0;0;0;0;"2017-04-10 23:00:00";6;"2017-04-10 23:00:00";"2017-04-10 23:45:00";45
"2017-04-11 23:25:39+02:00";"AB64";"2017-04-11 23:45:00";1;"";"2017-04-11 07:00:00";0;0;4;0;0;2;1;1;2;3;"Tv kijken";0;0;0;0;2;2;0;2;0;0;0;0;"2017-04-11 23:30:00";6;"2017-04-11 23:30:00";"2017-04-11 23:55:00";25
"2017-04-12 07:42:47+02:00";"AB64";"2017-04-12 23:55:00";1;"Man kwam thuis en daar wilde ik nog even mee praten";"2017-04-12 07:00:00";0;0;2;0;0;1;0;0;3;3;"Poging om Netflix te kijken maar was te moe, praten met huisgenoten, ";0;0;0;0;0;0;0;2;0;0;0;0;"2017-04-12 23:00:00";2;"2017-04-12 23:00:00";"2017-04-13 00:30:00";90
"2017-04-13 08:26:21+02:00";"AB64";"2017-04-13 00:30:00";1;"Tot laat doorgewerkt.";"2017-04-13 07:00:00";0;0;2;0;0;2;0;3;1;3;"Gewerkt, achter de pc";0;0;0;0;0;0;1;1;0;0;0;0;"2017-04-13 23:30:00";2;"2017-04-13 23:30:00";"2017-04-14 00:00:00";30
"2017-04-14 13:10:28+02:00";"AB64";"2017-04-14 00:00:00";0;"nvt";"2017-04-14 09:00:00";0;0;2;0;1;2;0;1;2;3;"tv gekeken, ipad";0;0;0;0;2;0;0;0;0;0;0;0;"2017-04-14 23:00:00";2;"2017-04-14 23:00:00";"2017-04-15 01:00:00";120
"2017-04-15 17:04:43+02:00";"AB64";"2017-04-15 01:00:00";1;"Nog even gezellig napraten, en in eens was het 1 uur.";"2017-04-15 07:00:00";0;0;2;0;1;2;0;2;2;3;"Ipad, tv-serie kijken, gezellig kletsen";0;0;0;0;2;2;0;0;0;0;0;0;"2017-04-15 23:00:00";4;"2017-04-15 23:00:00";"2017-04-15 23:30:00";30
"2017-04-16 08:16:39+02:00";"AB64";"2017-04-16 23:30:00";0;"Nvt";"2017-04-16 07:00:00";0;0;2;1;0;2;0;1;2;2;"Even rustig zitten samen, de dag doorpraten.";0;0;0;0;0;2;0;0;0;0;0;0;"2017-04-16 23:00:00";2;"2017-04-16 23:00:00";"2017-04-16 23:30:00";30
"2017-04-17 08:11:53+02:00";"AB64";"2017-04-17 23:30:00";0;"Nvt";"2017-04-17 07:00:00";0;0;1;0;0;2;0;1;1;2;"Televisie gekeken, boek gelezen, op de bank gezetten, was doen.";0;0;0;0;2;0;2;0;0;0;0;0;"2017-04-17 23:30:00";4;"2017-04-17 23:30:00";"2017-04-18 00:30:00";60
"2017-04-18 08:41:36+02:00";"AB64";"2017-04-18 00:30:00";1;"Geen bijzondere reden. ";"2017-04-18 08:00:00";0;0;2;1;1;2;0;1;2;2;"Televisie kijken, lezen, ipad, gesprek voeren";0;2;0;0;0;0;0;2;0;0;0;0;"2017-04-18 00:00:00";4;"2017-04-19 00:00:00";"2017-04-19 01:00:00";60
"2017-04-19 17:17:55+02:00";"AB64";"2017-04-19 01:00:00";1;"Ik ben naar een verjaardag geweest.";"2017-04-19 07:00:00";0;0;1;1;0;2;0;2;1;0;"Verjaardag: kletsen met allerlei mensen, 10 minuten buiten lopen, lezen";0;0;0;0;0;0;0;1;0;0;0;0;"2017-04-19 23:00:00";1;"2017-04-19 23:00:00";"2017-04-20 00:30:00";90
"2017-04-20 17:18:27+02:00";"AB64";"2017-04-20 00:30:00";1;"Geen bijzondere reden. ";"2017-04-20 08:00:00";0;0;2;1;1;2;0;1;2;2;"Televisie kijken, lezen, ipad, gesprek voeren";0;2;0;0;0;0;0;2;0;0;0;0;"2017-04-20 00:00:00";4;"2017-04-21 00:00:00";"2017-04-20 22:30:00";-90
"2017-04-21 07:31:53+02:00";"AB64";"2017-04-21 22:30:00";0;"N.v.t.";"2017-04-21 07:00:00";0;0;1;0;0;2;0;0;1;3;"Serie kijken, lezen in bed";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-21 23:00:00";0;"2017-04-21 23:00:00";"2017-04-22 00:00:00";60
"2017-04-22 07:25:50+02:00";"AB64";"2017-04-22 00:00:00";1;"Geen specifieke reden, soms loopt het gewoon zo en dan is het later dan je dacht.";"2017-04-22 07:00:00";0;0;2;0;0;2;0;3;3;3;"Tv kijken, lezen, praten met huisgenoten";0;2;0;0;0;0;0;2;0;0;0;0;"2017-04-22 00:00:00";4;"2017-04-23 00:00:00";"2017-04-22 23:50:00";-10
