"date";"id";"bed_time";"late";"late_reason";"wake_time";"sleep_transition";"sleep_struggle";"night_wake";"wake_earlier";"wake_earlier_problem";"sleep_quality";"physical_activity";"mental_digital_activity";"social_activity";"light";"presleep_description";"temptation_smoking";"temptation_eating";"temptation_chat";"temptation_coffee";"temptation_social_media";"temptation_internet";"temptation_tv";"temptation_alcohol";"temptation_soft_drink";"temptation_cleaning";"temptation_shopping";"temptation_other";"bed_time_plan";"steps";"sun_hours_yesterday";"temptation_score";"plan_tonight";"bed_tonight";"procrastination_minutes";"sun_hours_today";"procrastination_minutes_three_day_cumulative_history";"procrastination_minutes_two_day_cumulative_history";"procrastination_minutes_one_day_cumulative_history";"sleep_struggle_three_day_cumulative_history";"sleep_struggle_two_day_cumulative_history";"sleep_struggle_one_day_cumulative_history";"night_wake_three_day_cumulative_history";"night_wake_two_day_cumulative_history";"night_wake_one_day_cumulative_history";"sleep_quality_three_day_cumulative_history";"sleep_quality_two_day_cumulative_history";"sleep_quality_one_day_cumulative_history";"social_activity_three_day_cumulative_history";"social_activity_two_day_cumulative_history";"social_activity_one_day_cumulative_history";"light_three_day_cumulative_history";"light_two_day_cumulative_history";"light_one_day_cumulative_history";"eating_three_day_cumulative_history";"eating_two_day_cumulative_history";"eating_one_day_cumulative_history";"coffee_three_day_cumulative_history";"coffee_two_day_cumulative_history";"coffee_one_day_cumulative_history";"temptation_score_three_day_cumulative_history";"temptation_score_two_day_cumulative_history";"temptation_score_one_day_cumulative_history";"procrastination_minutes_three_days_ago";"procrastination_minutes_two_days_ago";"procrastination_minutes_one_days_ago";"temptation_score_three_days_ago";"temptation_score_two_days_ago";"temptation_score_one_days_ago";"bed_time_three_days_ago";"bed_time_two_days_ago";"bed_time_one_days_ago"
"2017-04-10 09:57:26+02:00";"AB64";"2017-04-10 02:00:00";1;"We zijn vanuit het noorden van het land teruggereden naar huis na een theatervoorstelling";"2017-04-10 09:30:00";0;0;0;0;0;2;1;1;2;1;"Theaterbezoek, autorit (bijrijder)";0;0;2;0;2;2;0;0;0;0;0;0;"2017-04-10 23:00:00";5845;12.3;6;"2017-04-10 23:00:00";"2017-04-10 23:45:00";45;8.8;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;0;0;0;0;0;0;0;0;0
"2017-04-11 23:25:39+02:00";"AB64";"2017-04-11 23:45:00";1;"";"2017-04-11 07:00:00";0;0;4;0;0;2;1;1;2;3;"Tv kijken";0;0;0;0;2;2;0;2;0;0;0;0;"2017-04-11 23:30:00";7649;8.8;6;"2017-04-11 23:30:00";"2017-04-11 23:55:00";25;10.7;70;70;25;70;70;25;70;70;25;70;70;25;70;70;25;70;70;25;70;70;25;70;70;25;70;70;25;0;0;45;0;0;6;0;0;"2017-04-10 02:00:00"
"2017-04-12 07:42:47+02:00";"AB64";"2017-04-12 23:55:00";1;"Man kwam thuis en daar wilde ik nog even mee praten";"2017-04-12 07:00:00";0;0;2;0;0;1;0;0;3;3;"Poging om Netflix te kijken maar was te moe, praten met huisgenoten, ";0;0;0;0;0;0;0;2;0;0;0;0;"2017-04-12 23:00:00";5012;10.7;2;"2017-04-12 23:00:00";"2017-04-13 00:30:00";90;1.3;160;115;90;160;115;90;160;115;90;160;115;90;160;115;90;160;115;90;160;115;90;160;115;90;160;115;90;0;45;25;0;6;6;0;"2017-04-10 02:00:00";"2017-04-11 23:45:00"
"2017-04-13 08:26:21+02:00";"AB64";"2017-04-13 00:30:00";1;"Tot laat doorgewerkt.";"2017-04-13 07:00:00";0;0;2;0;0;2;0;3;1;3;"Gewerkt, achter de pc";0;0;0;0;0;0;1;1;0;0;0;0;"2017-04-13 23:30:00";2467;1.3;2;"2017-04-13 23:30:00";"2017-04-14 00:00:00";30;7.2;145;120;30;145;120;30;145;120;30;145;120;30;145;120;30;145;120;30;145;120;30;145;120;30;145;120;30;45;25;90;6;6;2;"2017-04-10 02:00:00";"2017-04-11 23:45:00";"2017-04-12 23:55:00"
"2017-04-14 13:10:28+02:00";"AB64";"2017-04-14 00:00:00";0;"nvt";"2017-04-14 09:00:00";0;0;2;0;1;2;0;1;2;3;"tv gekeken, ipad";0;0;0;0;2;0;0;0;0;0;0;0;"2017-04-14 23:00:00";2114;7.2;2;"2017-04-14 23:00:00";"2017-04-15 01:00:00";120;4.4;240;150;120;240;150;120;240;150;120;240;150;120;240;150;120;240;150;120;240;150;120;240;150;120;240;150;120;25;90;30;6;2;2;"2017-04-11 23:45:00";"2017-04-12 23:55:00";"2017-04-13 00:30:00"
"2017-04-15 17:04:43+02:00";"AB64";"2017-04-15 01:00:00";1;"Nog even gezellig napraten, en in eens was het 1 uur.";"2017-04-15 07:00:00";0;0;2;0;1;2;0;2;2;3;"Ipad, tv-serie kijken, gezellig kletsen";0;0;0;0;2;2;0;0;0;0;0;0;"2017-04-15 23:00:00";2943;4.4;4;"2017-04-15 23:00:00";"2017-04-15 23:30:00";30;5.8;180;150;30;180;150;30;180;150;30;180;150;30;180;150;30;180;150;30;180;150;30;180;150;30;180;150;30;90;30;120;2;2;2;"2017-04-12 23:55:00";"2017-04-13 00:30:00";"2017-04-14 00:00:00"
"2017-04-16 08:16:39+02:00";"AB64";"2017-04-16 23:30:00";0;"Nvt";"2017-04-16 07:00:00";0;0;2;1;0;2;0;1;2;2;"Even rustig zitten samen, de dag doorpraten.";0;0;0;0;0;2;0;0;0;0;0;0;"2017-04-16 23:00:00";2288;5.8;2;"2017-04-16 23:00:00";"2017-04-16 23:30:00";30;5.3;180;60;30;180;60;30;180;60;30;180;60;30;180;60;30;180;60;30;180;60;30;180;60;30;180;60;30;30;120;30;2;2;4;"2017-04-13 00:30:00";"2017-04-14 00:00:00";"2017-04-15 01:00:00"
"2017-04-17 08:11:53+02:00";"AB64";"2017-04-17 23:30:00";0;"Nvt";"2017-04-17 07:00:00";0;0;1;0;0;2;0;1;1;2;"Televisie gekeken, boek gelezen, op de bank gezetten, was doen.";0;0;0;0;2;0;2;0;0;0;0;0;"2017-04-17 23:30:00";3015;5.3;4;"2017-04-17 23:30:00";"2017-04-18 00:30:00";60;9.4;120;90;60;120;90;60;120;90;60;120;90;60;120;90;60;120;90;60;120;90;60;120;90;60;120;90;60;120;30;30;2;4;2;"2017-04-14 00:00:00";"2017-04-15 01:00:00";"2017-04-16 23:30:00"
"2017-04-18 08:41:36+02:00";"AB64";"2017-04-18 00:30:00";1;"Geen bijzondere reden. ";"2017-04-18 08:00:00";0;0;2;1;1;2;0;1;2;2;"Televisie kijken, lezen, ipad, gesprek voeren";0;2;0;0;0;0;0;2;0;0;0;0;"2017-04-18 00:00:00";3866;9.4;4;"2017-04-19 00:00:00";"2017-04-19 01:00:00";60;9.0;150;120;60;150;120;60;150;120;60;150;120;60;150;120;60;150;120;60;150;120;60;150;120;60;150;120;60;30;30;60;4;2;4;"2017-04-15 01:00:00";"2017-04-16 23:30:00";"2017-04-17 23:30:00"
"2017-04-19 17:17:55+02:00";"AB64";"2017-04-19 01:00:00";1;"Ik ben naar een verjaardag geweest.";"2017-04-19 07:00:00";0;0;1;1;0;2;0;2;1;0;"Verjaardag: kletsen met allerlei mensen, 10 minuten buiten lopen, lezen";0;0;0;0;0;0;0;1;0;0;0;0;"2017-04-19 23:00:00";4312;9.0;1;"2017-04-19 23:00:00";"2017-04-20 00:30:00";90;6.3;210;150;90;210;150;90;210;150;90;210;150;90;210;150;90;210;150;90;210;150;90;210;150;90;210;150;90;30;60;60;2;4;4;"2017-04-16 23:30:00";"2017-04-17 23:30:00";"2017-04-18 00:30:00"
