"questionnaire_timestamp";"id";"bed_time";"late";"late_reason";"wake_time";"sleep_transition";"sleep_struggle";"night_wake";"wake_earlier";"wake_earlier_problem";"sleep_quality";"physical_activity";"mental_digital_activity";"social_activity";"light";"presleep_description";"temptation_smoking";"temptation_eating";"temptation_chat";"temptation_coffee";"temptation_social_media";"temptation_internet";"temptation_tv";"temptation_alcohol";"temptation_soft_drink";"temptation_cleaning";"temptation_shopping";"temptation_other";"bed_time_plan_aligned";"steps";"sun_hours";"temptation_score";"date";"day_of_week";"procrastination_minutes";"procrastination_minutes_three_day_cumulative_history";"procrastination_minutes_two_day_cumulative_history";"procrastination_minutes_one_day_cumulative_history";"sleep_struggle_three_day_cumulative_history";"sleep_struggle_two_day_cumulative_history";"sleep_struggle_one_day_cumulative_history";"night_wake_three_day_cumulative_history";"night_wake_two_day_cumulative_history";"night_wake_one_day_cumulative_history";"sleep_quality_three_day_cumulative_history";"sleep_quality_two_day_cumulative_history";"sleep_quality_one_day_cumulative_history";"social_activity_three_day_cumulative_history";"social_activity_two_day_cumulative_history";"social_activity_one_day_cumulative_history";"light_three_day_cumulative_history";"light_two_day_cumulative_history";"light_one_day_cumulative_history";"temptation_eating_three_day_cumulative_history";"temptation_eating_two_day_cumulative_history";"temptation_eating_one_day_cumulative_history";"temptation_coffee_three_day_cumulative_history";"temptation_coffee_two_day_cumulative_history";"temptation_coffee_one_day_cumulative_history";"temptation_score_three_day_cumulative_history";"temptation_score_two_day_cumulative_history";"temptation_score_one_day_cumulative_history";"procrastination_minutes_three_days_ago";"procrastination_minutes_two_days_ago";"procrastination_minutes_one_days_ago";"temptation_score_three_days_ago";"temptation_score_two_days_ago";"temptation_score_one_days_ago";"bed_time_three_days_ago";"bed_time_two_days_ago";"bed_time_one_days_ago"
"2017-04-10 09:57:26+02:00";"AB64";"2017-04-10 02:00:00";1;"We zijn vanuit het noorden van het land teruggereden naar huis na een theatervoorstelling";"2017-04-09 09:30:00";0;0;0;0;0;2;1;1;2;1;"Theaterbezoek, autorit (bijrijder)";0;0;2;0;2;2;0;0;0;0;0;0;"2017-04-10 00:11:00";5845;12.3;6;"2017-04-09 09:57:26+02:00";6;109;109;109;109;0;0;0;0;0;0;2;2;2;2;2;2;1;1;1;0;0;0;0;0;0;6;6;6;0;0;0;0;0;0;0;0;0
"2017-04-11 23:25:39+02:00";"AB64";"2017-04-10 23:45:00";1;"";"2017-04-10 07:00:00";0;0;4;0;0;2;1;1;2;3;"Tv kijken";0;0;0;0;2;2;0;2;0;0;0;0;"2017-04-10 23:00:00";7649;8.8;6;"2017-04-10 23:25:39+02:00";0;45;154;154;45;0;0;0;4;4;4;4;4;2;4;4;2;4;4;3;0;0;0;0;0;0;12;12;6;0;0;109;0;0;6;0;0;"2017-04-10 02:00:00"
"2017-04-12 07:42:47+02:00";"AB64";"2017-04-11 23:55:00";1;"Man kwam thuis en daar wilde ik nog even mee praten";"2017-04-11 07:00:00";0;0;2;0;0;1;0;0;3;3;"Poging om Netflix te kijken maar was te moe, praten met huisgenoten, ";0;0;0;0;0;0;0;2;0;0;0;0;"2017-04-11 23:30:00";5012;10.7;2;"2017-04-11 07:42:47+02:00";1;25;179;70;25;0;0;0;6;6;2;5;3;1;7;5;3;7;6;3;0;0;0;0;0;0;14;8;2;0;109;45;0;6;6;0;"2017-04-10 02:00:00";"2017-04-10 23:45:00"
"2017-04-13 08:26:21+02:00";"AB64";"2017-04-13 00:30:00";1;"Tot laat doorgewerkt.";"2017-04-12 07:00:00";0;0;2;0;0;2;0;3;1;3;"Gewerkt, achter de pc";0;0;0;0;0;0;1;1;0;0;0;0;"2017-04-12 23:00:00";2467;1.3;2;"2017-04-12 08:26:21+02:00";2;90;160;115;90;0;0;0;8;4;2;5;3;2;6;4;1;9;6;3;0;0;0;0;0;0;10;4;2;109;45;25;6;6;2;"2017-04-10 02:00:00";"2017-04-10 23:45:00";"2017-04-11 23:55:00"
"2017-04-14 13:10:28+02:00";"AB64";"2017-04-14 00:00:00";0;"nvt";"2017-04-13 09:00:00";0;0;2;0;1;2;0;1;2;3;"tv gekeken, ipad";0;0;0;0;2;0;0;0;0;0;0;0;"2017-04-13 23:30:00";2114;7.2;2;"2017-04-13 13:10:28+02:00";3;30;145;120;30;0;0;0;6;4;2;5;4;2;6;3;2;9;6;3;0;0;0;0;0;0;6;4;2;45;25;90;6;2;2;"2017-04-10 23:45:00";"2017-04-11 23:55:00";"2017-04-13 00:30:00"
"2017-04-15 17:04:43+02:00";"AB64";"2017-04-15 01:00:00";1;"Nog even gezellig napraten, en in eens was het 1 uur.";"2017-04-14 07:00:00";0;0;2;0;1;2;0;2;2;3;"Ipad, tv-serie kijken, gezellig kletsen";0;0;0;0;2;2;0;0;0;0;0;0;"2017-04-14 23:00:00";2943;4.4;4;"2017-04-14 17:04:43+02:00";4;120;240;150;120;0;0;0;6;4;2;6;4;2;5;4;2;9;6;3;0;0;0;0;0;0;8;6;4;25;90;30;2;2;2;"2017-04-11 23:55:00";"2017-04-13 00:30:00";"2017-04-14 00:00:00"
"2017-04-16 08:16:39+02:00";"AB64";"2017-04-15 23:30:00";0;"Nvt";"2017-04-15 07:00:00";0;0;2;1;0;2;0;1;2;2;"Even rustig zitten samen, de dag doorpraten.";0;0;0;0;0;2;0;0;0;0;0;0;"2017-04-15 23:00:00";2288;5.8;2;"2017-04-15 08:16:39+02:00";5;30;180;150;30;0;0;0;6;4;2;6;4;2;6;4;2;8;5;2;0;0;0;0;0;0;8;6;2;90;30;120;2;2;4;"2017-04-13 00:30:00";"2017-04-14 00:00:00";"2017-04-15 01:00:00"
"2017-04-17 08:11:53+02:00";"AB64";"2017-04-16 23:30:00";0;"Nvt";"2017-04-16 07:00:00";0;0;1;0;0;2;0;1;1;2;"Televisie gekeken, boek gelezen, op de bank gezetten, was doen.";0;0;0;0;2;0;2;0;0;0;0;0;"2017-04-16 23:00:00";3015;5.3;4;"2017-04-16 08:11:53+02:00";6;30;180;60;30;0;0;0;5;3;1;6;4;2;5;3;1;7;4;2;0;0;0;0;0;0;10;6;4;30;120;30;2;4;2;"2017-04-14 00:00:00";"2017-04-15 01:00:00";"2017-04-15 23:30:00"
"2017-04-18 08:41:36+02:00";"AB64";"2017-04-18 00:30:00";1;"Geen bijzondere reden. ";"2017-04-17 08:00:00";0;0;2;1;1;2;0;1;2;2;"Televisie kijken, lezen, ipad, gesprek voeren";0;2;0;0;0;0;0;2;0;0;0;0;"2017-04-17 23:30:00";3866;9.4;4;"2017-04-17 08:41:36+02:00";0;60;120;90;60;0;0;0;5;3;2;6;4;2;5;3;2;6;4;2;2;2;2;0;0;0;10;8;4;120;30;30;4;2;4;"2017-04-15 01:00:00";"2017-04-15 23:30:00";"2017-04-16 23:30:00"
"2017-04-19 17:17:55+02:00";"AB64";"2017-04-19 01:00:00";1;"Ik ben naar een verjaardag geweest.";"2017-04-18 07:00:00";0;0;1;1;0;2;0;2;1;0;"Verjaardag: kletsen met allerlei mensen, 10 minuten buiten lopen, lezen";0;0;0;0;0;0;0;1;0;0;0;0;"2017-04-19 00:00:00";4312;9.0;1;"2017-04-18 17:17:55+02:00";1;60;150;120;60;0;0;0;4;3;1;6;4;2;4;3;1;4;2;0;2;2;0;0;0;0;9;5;1;30;30;60;2;4;4;"2017-04-15 23:30:00";"2017-04-16 23:30:00";"2017-04-18 00:30:00"
