bed_time,late,wake_time,sleep_transition,sleep_struggle,night_wake,wake_earlier,wake_earlier_problem,sleep_quality,physical_activity,mental_digital_activity,social_activity,light,temptation_smoking,temptation_eating,temptation_chat,temptation_coffee,temptation_social_media,temptation_internet,temptation_tv,temptation_alcohol,temptation_soft_drink,temptation_cleaning,temptation_shopping,temptation_other,steps,sun_hours,temptation_score,ego_depletion,day_of_week,procrastination_minutes,procrastination_minutes_positive,procrastination_minutes_positive_15by15,sleep_transition_minutes_estimated,sleep_minutes,procrastination_minutes_four_day_cumulative_history,procrastination_minutes_three_day_cumulative_history,procrastination_minutes_two_day_cumulative_history,sleep_struggle_four_day_cumulative_history,sleep_struggle_three_day_cumulative_history,sleep_struggle_two_day_cumulative_history,night_wake_four_day_cumulative_history,night_wake_three_day_cumulative_history,night_wake_two_day_cumulative_history,sleep_quality_four_day_cumulative_history,sleep_quality_three_day_cumulative_history,sleep_quality_two_day_cumulative_history,social_activity_four_day_cumulative_history,social_activity_three_day_cumulative_history,social_activity_two_day_cumulative_history,light_four_day_cumulative_history,light_three_day_cumulative_history,light_two_day_cumulative_history,temptation_eating_four_day_cumulative_history,temptation_eating_three_day_cumulative_history,temptation_eating_two_day_cumulative_history,temptation_coffee_four_day_cumulative_history,temptation_coffee_three_day_cumulative_history,temptation_coffee_two_day_cumulative_history,temptation_score_four_day_cumulative_history,temptation_score_three_day_cumulative_history,temptation_score_two_day_cumulative_history,procrastination_minutes_three_days_ago,procrastination_minutes_two_days_ago,procrastination_minutes_one_days_ago,temptation_score_three_days_ago,temptation_score_two_days_ago,temptation_score_one_days_ago,bed_time_three_days_ago,bed_time_two_days_ago,bed_time_one_days_ago,sleep_deficit_change,sleep_deficit_minutes,consent,sex,age,edu,timezone_change,sleep_disorder,nightshift,psy_disorder,wake,young_kids,partn,bptrt_1,bptrt_2,bptrt_3,bptrt_4,bptrt_5,bptrt_6,bptrt_7,bptrt_8,bptrt_9,ats_1,atbr_1,sq_1,sq_2,sq_3,sq_4,sq_5,sq_6,atbr_2,atbr_3,ats_2,ats_3,chron_1,chron_2,chron_3,chron_4,chron_5,chron_6,chron_7,chron_8,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,bptrt_score,ats_score,atbr_score,sq_score,chron_score,sc_score,id,questionnaire_timestamp,late_reason,presleep_description,bed_time_plan_aligned,date
10/04/2017 02:00,1,09/04/2017 09:30,0,0,0,0,0,2,1,1,2,1,0,0,2,0,2,2,0,0,0,0,0,0,5845,12.3,6,0,6,,,,00:15:00,435,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,1,1,0,0,0,0,0,0,6,6,6,,,,,,,,,,45,45,1,1,49,4,0,0,0,0,1,0,0,3,-1,-1,1,3,2,0,3,-2,0,0,0,0,2,0,0,-3,0,1,0,-4,-2,1,2,-1,2,-2,-2,0,1,-1,-1,-4,-2,2,-1,1,-1,-2,1,-1,-2,8,-4,1,-1,-2,-10,AB64,2017-04-10 09:57:26+02:00,We zijn vanuit het noorden van het land teruggereden naar huis na een theatervoorstelling,"Theaterbezoek, autorit (bijrijder)",NaT,2017-04-09 09:57:26+02:00
10/04/2017 23:45,1,10/04/2017 07:00,0,0,4,0,0,2,1,1,2,3,0,0,0,0,2,2,0,2,0,0,0,0,7649,8.8,6,0,0,45,45,3,00:15:00,420,45,45,45,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,12,12,12,,,,,,6,,,10/04/2017 02:00,60,105,1,1,49,4,0,0,0,0,1,0,0,3,-1,-1,1,3,2,0,3,-2,0,0,0,0,2,0,0,-3,0,1,0,-4,-2,1,2,-1,2,-2,-2,0,1,-1,-1,-4,-2,2,-1,1,-1,-2,1,-1,-2,8,-4,1,-1,-2,-10,AB64,2017-04-11 23:25:39+02:00,,Tv kijken,10/04/2017 23:00,2017-04-10 23:25:39+02:00
11/04/2017 23:55,1,11/04/2017 07:00,0,0,2,0,0,1,0,0,3,3,0,0,0,0,0,0,0,2,0,0,0,0,5012,10.7,2,0,1,25,25,1,00:15:00,410,70,70,70,0,0,0,6,6,6,5,5,3,7,7,5,7,7,6,0,0,0,0,0,0,14,14,8,,,45,,6,6,,10/04/2017 02:00,10/04/2017 23:45,70,175,1,1,49,4,0,0,0,0,1,0,0,3,-1,-1,1,3,2,0,3,-2,0,0,0,0,2,0,0,-3,0,1,0,-4,-2,1,2,-1,2,-2,-2,0,1,-1,-1,-4,-2,2,-1,1,-1,-2,1,-1,-2,8,-4,1,-1,-2,-10,AB64,2017-04-12 07:42:47+02:00,Man kwam thuis en daar wilde ik nog even mee praten,"Poging om Netflix te kijken maar was te moe, praten met huisgenoten,",11/04/2017 23:30,2017-04-11 07:42:47+02:00
13/04/2017 00:30,1,12/04/2017 07:00,0,0,2,0,0,2,0,3,1,3,0,0,0,0,0,0,1,1,0,0,0,0,2467,1.3,2,2,2,90,90,6,00:15:00,375,160,160,115,0,0,0,8,8,4,7,5,3,8,6,4,10,9,6,0,0,0,0,0,0,16,10,4,,45,25,6,6,2,10/04/2017 02:00,10/04/2017 23:45,11/04/2017 23:55,105,280,1,1,49,4,0,0,0,0,1,0,0,3,-1,-1,1,3,2,0,3,-2,0,0,0,0,2,0,0,-3,0,1,0,-4,-2,1,2,-1,2,-2,-2,0,1,-1,-1,-4,-2,2,-1,1,-1,-2,1,-1,-2,8,-4,1,-1,-2,-10,AB64,2017-04-13 08:26:21+02:00,Tot laat doorgewerkt.,"Gewerkt, achter de pc",12/04/2017 23:00,2017-04-12 08:26:21+02:00
14/04/2017 00:00,0,13/04/2017 09:00,0,0,2,0,1,2,0,1,2,3,0,0,0,0,2,0,0,0,0,0,0,0,2114,7.2,2,0,3,30,30,2,00:15:00,525,190,145,120,0,0,0,10,6,4,7,5,4,8,6,3,12,9,6,0,0,0,0,0,0,12,6,4,45,25,90,6,2,2,10/04/2017 23:45,11/04/2017 23:55,13/04/2017 00:30,-45,190,1,1,49,4,0,0,0,0,1,0,0,3,-1,-1,1,3,2,0,3,-2,0,0,0,0,2,0,0,-3,0,1,0,-4,-2,1,2,-1,2,-2,-2,0,1,-1,-1,-4,-2,2,-1,1,-1,-2,1,-1,-2,8,-4,1,-1,-2,-10,AB64,2017-04-14 13:10:28+02:00,nvt,"tv gekeken, ipad",13/04/2017 23:30,2017-04-13 13:10:28+02:00
15/04/2017 01:00,1,14/04/2017 07:00,0,0,2,0,1,2,0,2,2,3,0,0,0,0,2,2,0,0,0,0,0,0,2943,4.4,4,0,4,120,120,8,00:15:00,345,265,240,150,0,0,0,8,6,4,7,6,4,8,5,4,12,9,6,0,0,0,0,0,0,10,8,6,25,90,30,2,2,2,11/04/2017 23:55,13/04/2017 00:30,14/04/2017 00:00,135,265,1,1,49,4,0,0,0,0,1,0,0,3,-1,-1,1,3,2,0,3,-2,0,0,0,0,2,0,0,-3,0,1,0,-4,-2,1,2,-1,2,-2,-2,0,1,-1,-1,-4,-2,2,-1,1,-1,-2,1,-1,-2,8,-4,1,-1,-2,-10,AB64,2017-04-15 17:04:43+02:00,"Nog even gezellig napraten, en in eens was het 1 uur.","Ipad, tv-serie kijken, gezellig kletsen",14/04/2017 23:00,2017-04-14 17:04:43+02:00
15/04/2017 23:30,0,15/04/2017 07:00,0,0,2,1,0,2,0,1,2,2,0,0,0,0,0,2,0,0,0,0,0,0,2288,5.8,2,0,5,30,30,2,00:15:00,435,270,180,150,0,0,0,8,6,4,8,6,4,7,6,4,11,8,5,0,0,0,0,0,0,10,8,6,90,30,120,2,2,4,13/04/2017 00:30,14/04/2017 00:00,15/04/2017 01:00,45,240,1,1,49,4,0,0,0,0,1,0,0,3,-1,-1,1,3,2,0,3,-2,0,0,0,0,2,0,0,-3,0,1,0,-4,-2,1,2,-1,2,-2,-2,0,1,-1,-1,-4,-2,2,-1,1,-1,-2,1,-1,-2,8,-4,1,-1,-2,-10,AB64,2017-04-16 08:16:39+02:00,Nvt,"Even rustig zitten samen, de dag doorpraten.",15/04/2017 23:00,2017-04-15 08:16:39+02:00
16/04/2017 23:30,0,16/04/2017 07:00,0,0,1,0,0,2,0,1,1,2,0,0,0,0,2,0,2,0,0,0,0,0,3015,5.3,4,0,6,30,30,2,00:15:00,435,210,180,60,0,0,0,7,5,3,8,6,4,7,5,3,10,7,4,0,0,0,0,0,0,12,10,6,30,120,30,2,4,2,14/04/2017 00:00,15/04/2017 01:00,15/04/2017 23:30,45,180,1,1,49,4,0,0,0,0,1,0,0,3,-1,-1,1,3,2,0,3,-2,0,0,0,0,2,0,0,-3,0,1,0,-4,-2,1,2,-1,2,-2,-2,0,1,-1,-1,-4,-2,2,-1,1,-1,-2,1,-1,-2,8,-4,1,-1,-2,-10,AB64,2017-04-17 08:11:53+02:00,Nvt,"Televisie gekeken, boek gelezen, op de bank gezetten, was doen.",16/04/2017 23:00,2017-04-16 08:11:53+02:00
18/04/2017 00:30,1,17/04/2017 08:00,0,0,2,1,1,2,0,1,2,2,0,2,0,0,0,0,0,2,0,0,0,0,3866,9.4,4,0,0,60,60,4,00:15:00,435,240,120,90,0,0,0,7,5,3,8,6,4,7,5,3,9,6,4,2,2,2,0,0,0,14,10,8,120,30,30,4,2,4,15/04/2017 01:00,15/04/2017 23:30,16/04/2017 23:30,45,270,1,1,49,4,0,0,0,0,1,0,0,3,-1,-1,1,3,2,0,3,-2,0,0,0,0,2,0,0,-3,0,1,0,-4,-2,1,2,-1,2,-2,-2,0,1,-1,-1,-4,-2,2,-1,1,-1,-2,1,-1,-2,8,-4,1,-1,-2,-10,AB64,2017-04-18 08:41:36+02:00,Geen bijzondere reden.,"Televisie kijken, lezen, ipad, gesprek voeren",17/04/2017 23:30,2017-04-17 08:41:36+02:00
19/04/2017 01:00,1,18/04/2017 07:00,0,0,1,1,0,2,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4312,9,1,1,1,60,60,4,00:15:00,345,180,150,120,0,0,0,6,4,3,8,6,4,6,4,3,6,4,2,2,2,2,0,0,0,11,9,5,30,30,60,2,4,4,15/04/2017 23:30,16/04/2017 23:30,18/04/2017 00:30,135,270,1,1,49,4,0,0,0,0,1,0,0,3,-1,-1,1,3,2,0,3,-2,0,0,0,0,2,0,0,-3,0,1,0,-4,-2,1,2,-1,2,-2,-2,0,1,-1,-1,-4,-2,2,-1,1,-1,-2,1,-1,-2,8,-4,1,-1,-2,-10,AB64,2017-04-19 17:17:55+02:00,Ik ben naar een verjaardag geweest.,"Verjaardag: kletsen met allerlei mensen, 10 minuten buiten lopen, lezen",19/04/2017 00:00,2017-04-18 17:17:55+02:00
