Activities,,,,,,,,,
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
01/02/2017,1.716,0,0,0,1.44,0,0,0,0
02/02/2017,1.716,0,0,0,1.44,0,0,0,0
03/02/2017,1.716,0,0,0,1.44,0,0,0,0
04/02/2017,1.716,0,0,0,1.44,0,0,0,0
05/02/2017,1.716,0,0,0,1.44,0,0,0,0
06/02/2017,1.716,0,0,0,1.44,0,0,0,0
07/02/2017,1.716,0,0,0,1.44,0,0,0,0
08/02/2017,1.716,0,0,0,1.44,0,0,0,0
09/02/2017,1.716,0,0,0,1.44,0,0,0,0
10/02/2017,1.716,0,0,0,1.44,0,0,0,0
11/02/2017,1.716,0,0,0,1.44,0,0,0,0
12/02/2017,1.716,0,0,0,1.44,0,0,0,0
13/02/2017,1.716,0,0,0,1.44,0,0,0,0
14/02/2017,1.716,0,0,0,1.409,0,0,0,0
15/02/2017,2.743,17.507,8.26,20,507,97,98,40,1.306
16/02/2017,2.406,9.291,4.38,7,1.212,182,41,5,961
17/02/2017,2.08,3.25,1.53,0,612,137,6,3,538
18/02/2017,2.062,3.25,1.53,32,990,171,0,0,550
19/02/2017,3.52,19.386,9.59,52,984,273,107,76,2.347
20/02/2017,2.348,7.243,3.42,34,790,129,37,20,854
21/02/2017,2.366,8.618,4.06,15,757,154,15,17,872
22/02/2017,2.524,10.702,5.05,8,1.199,173,40,28,1.093
23/02/2017,2.194,5.564,2.62,40,1.251,168,19,2,703
24/02/2017,2.529,10.293,4.85,35,1.157,222,46,15,1.15
25/02/2017,2.595,11.591,5.47,54,1.11,258,71,1,1.273
26/02/2017,1.732,30,0.01,0,1.434,6,0,0,22
27/02/2017,1.716,0,0,0,1.44,0,0,0,0
28/02/2017,1.716,0,0,0,1.44,0,0,0,0
